name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"bytes","bytes_per_entry"
"BM_FindHit<RobinHoodHashMap<0.75>>/256",3545525,200.358,200.354,ns,,,,,,4160,16.25
"BM_FindHit<RobinHoodHashMap<0.75>>/512",1806522,390.923,390.911,ns,,,,,,8320,16.25
"BM_FindHit<RobinHoodHashMap<0.75>>/4096",229586,3049.9,3049.82,ns,,,,,,66560,16.25
"BM_FindHit<RobinHoodHashMap<0.75>>/32768",27472,24651.6,24650.7,ns,,,,,,532480,16.25
"BM_FindHit<RobinHoodHashMap<0.75>>/65536",14373,49145.6,49144.4,ns,,,,,,1.06496e+06,16.25
"BM_FindHit<StdUnorderedMapAdapter<0.75>>/256",1561831,447.888,447.88,ns,,,,,,11776,46
"BM_FindHit<StdUnorderedMapAdapter<0.75>>/512",783980,891.539,891.501,ns,,,,,,23552,46
"BM_FindHit<StdUnorderedMapAdapter<0.75>>/4096",98313,7103.21,7103.07,ns,,,,,,196608,48
"BM_FindHit<StdUnorderedMapAdapter<0.75>>/32768",12307,56842.3,56841.1,ns,,,,,,1.47456e+06,45
"BM_FindHit<StdUnorderedMapAdapter<0.75>>/65536",6150,113615,113613,ns,,,,,,2.93274e+06,44.75
"BM_FindHit<ChainingHashMap<0.9>>/256",3583165,195.603,195.601,ns,,,,,,16384,64
"BM_FindHit<ChainingHashMap<0.9>>/512",1812532,386.661,386.649,ns,,,,,,32768,64
"BM_FindHit<ChainingHashMap<0.9>>/4096",218916,3406.85,3406.79,ns,,,,,,262144,64
"BM_FindHit<ChainingHashMap<0.9>>/32768",28492,24593,24592.6,ns,,,,,,2.09715e+06,64
"BM_FindHit<ChainingHashMap<0.9>>/65536",14243,49047.7,49046.6,ns,,,,,,4.1943e+06,64
"BM_FindHit<LinearProbingHashMap<0.9>>/256",3841426,182.19,182.187,ns,,,,,,4608,18
"BM_FindHit<LinearProbingHashMap<0.9>>/512",1943516,359.574,359.568,ns,,,,,,9216,18
"BM_FindHit<LinearProbingHashMap<0.9>>/4096",246037,2844.28,2844.23,ns,,,,,,73728,18
"BM_FindHit<LinearProbingHashMap<0.9>>/32768",30812,22720.7,22720.3,ns,,,,,,589824,18
"BM_FindHit<LinearProbingHashMap<0.9>>/65536",15402,45442.2,45440.5,ns,,,,,,1.17965e+06,18
"BM_FindHit<RobinHoodHashMap<0.9>>/256",3571319,195.884,195.88,ns,,,,,,4160,16.25
"BM_FindHit<RobinHoodHashMap<0.9>>/512",1813514,385.943,385.935,ns,,,,,,8320,16.25
"BM_FindHit<RobinHoodHashMap<0.9>>/4096",229611,3048.34,3048.29,ns,,,,,,66560,16.25
"BM_FindHit<RobinHoodHashMap<0.9>>/32768",28740,24345.6,24345.1,ns,,,,,,532480,16.25
"BM_FindHit<RobinHoodHashMap<0.9>>/65536",14368,48684.3,48683.4,ns,,,,,,1.06496e+06,16.25
"BM_FindHit<StdUnorderedMapAdapter<0.9>>/256",1784312,442.542,442.53,ns,,,,,,11776,46
"BM_FindHit<StdUnorderedMapAdapter<0.9>>/512",784226,851.907,851.887,ns,,,,,,23552,46
"BM_FindHit<StdUnorderedMapAdapter<0.9>>/4096",114578,6921.13,6921.01,ns,,,,,,196608,48
"BM_FindHit<StdUnorderedMapAdapter<0.9>>/32768",12319,52236.9,52236.6,ns,,,,,,1.47456e+06,45
"BM_FindHit<StdUnorderedMapAdapter<0.9>>/65536",7174,108483,108481,ns,,,,,,2.93274e+06,44.75
"BM_FindMiss<ChainingHashMap<0.5>>/256",4726600,148.025,148.02,ns,,,,,,16384,64
"BM_FindMiss<ChainingHashMap<0.5>>/512",2418229,289.173,289.165,ns,,,,,,32768,64
"BM_FindMiss<ChainingHashMap<0.5>>/4096",306259,2276.77,2276.72,ns,,,,,,262144,64
"BM_FindMiss<ChainingHashMap<0.5>>/32768",38677,18234.5,18234,ns,,,,,,2.09715e+06,64
"BM_FindMiss<ChainingHashMap<0.5>>/65536",19324,36444.8,36443.7,ns,,,,,,4.1943e+06,64
"BM_FindMiss<LinearProbingHashMap<0.5>>/256",3570663,195.585,195.581,ns,,,,,,4608,18
"BM_FindMiss<LinearProbingHashMap<0.5>>/512",2612818,267.864,267.859,ns,,,,,,9216,18
"BM_FindMiss<LinearProbingHashMap<0.5>>/4096",337937,2075,2074.09,ns,,,,,,73728,18
"BM_FindMiss<LinearProbingHashMap<0.5>>/32768",42301,16537.7,16537.5,ns,,,,,,589824,18
"BM_FindMiss<LinearProbingHashMap<0.5>>/65536",21157,33063.7,33062.9,ns,,,,,,1.17965e+06,18
"BM_FindMiss<RobinHoodHashMap<0.5>>/256",4991016,140.095,140.092,ns,,,,,,4160,16.25
"BM_FindMiss<RobinHoodHashMap<0.5>>/512",2560492,273.324,273.32,ns,,,,,,8320,16.25
"BM_FindMiss<RobinHoodHashMap<0.5>>/4096",327547,2136.41,2136.37,ns,,,,,,66560,16.25
"BM_FindMiss<RobinHoodHashMap<0.5>>/32768",41054,17039,17038.6,ns,,,,,,532480,16.25
"BM_FindMiss<RobinHoodHashMap<0.5>>/65536",20540,34070.3,34069.8,ns,,,,,,1.06496e+06,16.25
